k00	f00	Ankunft_FH 	Abfahrt_FH
1470946	11	1	0
1470946	12	0	1
2041143	1	1	0
2041143	2	0	1
2081041	1	1	0
2081041	2	0	1
2092035	2	1	0
2092035	3	0	1
2093522	1	0	1
2093707	2	1	0
2093707	3	0	1
2094548	2	1	0
2094548	3	0	1
2110715	2	1	0
2112818	1	1	0
2112818	2	0	1
2120615	1	1	0
2120615	2	0	1
2120628	2	1	0
2120628	3	0	1
2140847	1	1	0
2140847	3	1	0
2140847	2	0	1
2140847	4	0	1
2141940	5	1	0
2141940	6	0	1
2142611	1	1	0
2142611	2	0	1
2150537	3	1	0
2150537	1	0	1
2161936	1	1	0
2161936	2	0	1
2162272	1	1	0
2162272	2	0	1
2172203	2	1	0
2172203	3	0	1
2173070	1	1	0
2173070	2	0	1
2223520	1	1	0
2223520	2	0	1
2251514	4	1	0
2251514	9	1	0
2251514	1	0	1
2251514	5	0	1
2261336	2	1	0
2261336	1	0	1
2270444	3	1	0
2270444	4	0	1
2280837	6	1	0
2280837	7	0	1
2282447	4	1	0
2282447	5	0	1
2340460	1	1	0
2340460	2	0	1
2380825	1	1	0
2380825	2	0	1
2381460	1	1	0
2381460	2	0	1
2382267	3	1	0
2382267	4	0	1
2400973	3	1	0
2400973	4	0	1
2421809	2	1	0
2421809	3	0	1
2430561	2	1	0
2450149	1	1	0
2450149	2	0	1
