k00	f00	Ankunft_HH	Abfahrt_HH
1470433	1	0	1
1470525	1	1	1
1470525	2	1	1
1470525	3	1	1
1470525	4	1	1
1470634	1	1	1
1470634	2	1	1
1470634	3	1	1
1470634	4	1	1
1470647	2	0	1
1470801	1	1	1
1470801	2	1	1
1470801	3	1	1
1470801	4	1	1
1470801	5	0	1
1470801	7	1	1
1470801	8	1	1
1470801	9	1	1
1470801	10	1	1
1470801	11	1	1
1470821	1	1	1
1470821	2	1	1
1470946	1	1	1
1470946	2	1	1
1470946	3	1	1
1470946	4	1	1
1470946	5	1	1
1470946	6	1	1
1470946	7	1	1
1470946	8	0	1
1470946	11	1	1
1470946	12	0	1
1471353	2	0	1
1471402	1	1	1
1471402	2	1	1
1471505	1	1	1
1471505	2	1	1
1480115	1	1	1
1480115	2	1	1
1480143	1	1	1
1480143	2	1	1
1480148	1	1	1
1480148	2	1	1
1480246	2	0	1
1480250	1	1	1
1480250	2	1	1
1480250	3	1	1
1480250	4	1	1
1480339	1	1	1
1480339	2	1	1
1480339	3	0	1
1480472	1	1	1
1480472	2	1	1
1480563	1	1	1
1480563	2	1	1
1480709	4	0	1
1480763	1	0	1
1480924	1	0	1
1480965	1	1	1
1480965	2	1	1
1480965	3	1	1
1480965	4	1	1
1480975	1	1	1
1480975	2	1	1
1481011	1	1	1
1481011	2	1	1
1481015	1	1	1
1481138	1	1	1
1481138	2	1	1
1481164	1	1	1
1481164	2	1	1
1481363	1	1	1
1481363	2	1	1
1481363	3	1	1
1481407	2	1	1
1481407	3	1	1
1481407	4	1	1
1481407	5	1	1
1481407	6	0	1
1482042	2	0	1
1482233	1	1	1
1482233	2	1	1
1482233	3	1	1
1482731	1	1	1
1482731	2	1	1
1482731	3	1	1
1482731	4	1	1
1482731	5	1	1
1482852	1	0	1
1482852	3	1	1
1482852	4	1	1
1483021	2	0	1
1483026	2	0	1
1483129	1	1	1
1483129	2	0	1
1483243	6	0	1
1483549	1	1	1
1483549	2	1	1
1483549	3	1	1
1483549	4	1	1
1483549	5	1	1
1483549	6	1	1
1483549	7	1	1
1483549	8	1	1
1483549	9	1	1
1483549	10	1	1
1483607	1	0	1
1483727	1	1	1
1483727	2	1	1
1483805	1	1	1
1483805	2	1	1
1483908	1	1	1
1483908	2	1	1
1483908	3	1	1
1483908	4	1	1
1483908	5	1	1
1484104	1	1	1
1484104	2	1	1
1484104	3	1	1
1484104	4	1	1
1484104	5	1	1
1484104	6	1	1
1484104	7	1	1
1484104	8	1	1
1484172	3	0	1
1484215	1	1	1
1484215	2	1	1
1484215	3	1	1
1484215	4	1	1
1484215	5	1	1
1484215	6	1	1
1484215	7	1	1
1484250	2	1	1
1484250	3	1	1
1484250	4	1	1
1484250	5	0	1
1490122	2	0	1
1490173	1	1	1
1490173	2	1	1
1490173	3	1	1
1490173	4	1	1
1490321	2	0	1
1490322	1	1	1
1490322	2	1	1
1490464	1	1	1
1490526	1	1	1
1490526	2	1	1
1490526	3	1	1
1490526	4	1	1
1490526	5	1	1
1490526	6	1	1
1490526	7	1	1
1490526	8	1	1
1490526	9	1	1
1490564	1	1	1
1490568	1	1	1
1490568	2	1	1
1490752	2	1	1
1490752	3	1	1
1490752	4	1	1
1490752	5	1	1
1490811	1	1	1
1490811	2	1	1
1490811	3	1	1
1490811	4	1	1
1490811	5	1	1
1490811	6	1	1
1491054	2	0	1
1491068	2	1	1
1491068	3	1	1
1491068	4	0	1
1491201	2	0	1
1491247	1	1	1
1491247	2	1	1
1491417	2	0	1
1491464	1	1	1
1491464	2	0	1
1491474	2	0	1
1491475	1	1	1
1491475	2	1	1
1491521	1	1	1
1491521	2	1	1
1491671	1	1	1
1491671	2	1	1
1491671	3	1	1
1491671	4	1	1
1491671	5	1	1
1491702	2	0	1
1491705	3	0	1
1491706	1	1	1
1491755	1	1	1
1491811	1	1	1
1491811	2	1	1
1492348	1	1	1
1492348	2	1	1
1492421	2	0	1
1492427	1	0	1
1492428	1	1	1
1492428	2	1	1
1492428	3	1	1
1492428	4	1	1
1492666	1	1	1
1492670	2	0	1
1500234	2	1	1
1500234	3	1	1
1500234	4	1	1
1500234	5	1	1
1500234	6	1	1
1500234	7	1	1
1500234	8	1	1
1500234	9	1	1
1500234	10	0	1
1500235	1	0	1
1500235	3	1	1
1500273	9	0	1
1500438	1	0	1
1500522	1	1	1
1500522	2	1	1
1500522	3	1	1
1500522	4	1	1
1500629	4	0	1
1500915	1	1	1
1500915	2	1	1
1501066	1	1	1
1501066	2	1	1
1501251	1	1	1
1501251	2	1	1
1501251	3	1	1
1501251	4	1	1
1501251	5	1	1
1501251	6	1	1
1501251	7	1	1
1501251	8	1	1
1501251	9	1	1
1501251	10	1	1
1501251	11	1	1
1501251	12	0	1
1501273	1	1	1
1501273	2	1	1
1501331	1	0	1
1501331	3	1	1
1501331	4	1	1
1501331	5	1	1
1501343	2	0	1
1501371	1	1	1
1501371	2	1	1
1501373	2	0	1
1501618	1	1	1
1501618	2	1	1
1501666	1	1	1
1501666	2	1	1
1501666	3	1	1
1501670	1	1	1
1501670	2	1	1
1501670	3	0	1
1501715	1	1	1
1501715	2	1	1
1501715	3	1	1
1501715	4	1	1
1501863	1	1	1
1501863	2	1	1
1501865	2	0	1
1501874	1	1	1
1501874	2	1	1
1501874	3	1	1
1501874	4	0	1
1501874	6	1	1
1501944	1	1	1
1501944	2	1	1
1501944	3	0	1
1502011	1	1	1
1502011	2	0	1
1502011	4	1	1
1502012	1	1	1
1502012	2	1	1
1502012	3	1	1
1502012	4	1	1
1502013	1	1	1
1502013	2	1	1
1502139	2	1	1
1502139	3	1	1
1502139	4	1	1
1502139	5	1	1
1502139	6	0	1
1502141	2	0	1
1502142	1	1	1
1502142	2	1	1
1502217	2	1	1
1502217	3	1	1
1502217	4	1	1
1502217	5	0	1
1502220	1	1	1
1502220	2	1	1
1502221	1	1	1
1502221	2	1	1
1502221	3	1	1
1502221	4	0	1
1502221	6	1	1
1502221	7	1	1
1502221	8	1	1
1502328	2	0	1
1502330	2	0	1
1502331	4	0	1
1502801	1	1	1
1502801	2	1	1
1502845	1	1	1
1502845	2	1	1
1502845	3	1	1
1502845	4	1	1
1502845	5	0	1
1502845	7	1	1
1502845	8	1	1
1502845	9	1	1
1502845	10	1	1
1502863	4	0	1
1502918	1	1	1
1502924	1	0	1
1502935	2	0	1
1502940	1	0	1
1503009	1	1	1
1503009	2	1	1
1503009	3	1	1
1503009	4	1	1
1503009	5	1	1
1503028	1	1	1
1503028	2	1	1
1503028	3	1	1
1503028	4	1	1
1503028	5	1	1
1503028	6	1	1
1503028	7	1	1
1503108	1	0	1
1503108	3	0	1
1503226	1	1	1
1503226	2	1	1
1503226	3	1	1
1503227	1	1	1
1503227	2	1	1
1503227	3	1	1
1503227	4	1	1
1503349	1	1	1
1503402	1	1	1
1503402	2	1	1
1503432	1	1	1
1503432	2	1	1
1510128	2	1	1
1510128	3	0	1
1510270	1	1	1
1510270	2	1	1
1510403	1	0	1
1510523	1	0	1
1510575	2	0	1
1510704	1	1	1
1510704	2	1	1
1510704	3	1	1
1510704	4	1	1
1510704	5	1	1
1510849	1	1	1
1510849	2	1	1
1510961	1	1	1
1510961	2	1	1
1510961	3	1	1
1510961	4	1	1
1511001	1	1	1
1511001	2	1	1
1511425	1	1	1
1511425	2	1	1
1511425	3	1	1
1511425	4	1	1
1511838	2	0	1
1512048	2	0	1
1512316	1	1	1
1512316	2	1	1
1512316	3	1	1
1512316	4	1	1
1512316	5	1	1
1512316	6	1	1
1512316	7	1	1
1512338	1	1	1
1512339	1	1	1
1512348	1	1	1
1512348	2	1	1
1512348	3	1	1
1512422	2	0	1
1512617	1	0	1
1512902	1	1	1
1512902	2	1	1
1512902	3	1	1
1512902	4	1	1
1512923	3	0	1
1513021	1	0	1
1513021	6	0	1
1513124	1	0	1
1513124	3	1	1
1513124	4	1	1
2010202	1	1	1
2010242	1	0	1
2010330	1	1	1
2010330	2	1	1
2010330	3	1	1
2010456	1	1	1
2010456	2	1	1
2010634	1	1	1
2010634	2	1	1
2010634	3	1	1
2010765	1	1	1
2010765	2	1	1
2010765	3	1	1
2010765	4	1	1
2010837	1	1	1
2010837	2	1	1
2010837	3	1	1
2010837	4	1	1
2011119	1	1	1
2011119	2	1	1
2011125	1	1	1
2011125	2	1	1
2011125	3	1	1
2011125	4	1	1
2011125	5	1	1
2011125	6	1	1
2011230	2	1	1
2011230	3	1	1
2011254	2	0	1
2011331	1	1	1
2011331	2	1	1
2011556	1	1	1
2011556	2	1	1
2011717	1	1	1
2011717	2	1	1
2011717	3	1	1
2020165	1	0	1
2020165	3	1	1
2020165	4	1	1
2020165	5	1	1
2020165	6	1	1
2020165	7	1	1
2020201	1	1	1
2020201	2	1	1
2020272	1	1	1
2020272	2	1	1
2020272	3	0	1
2020272	6	0	1
2020364	1	0	1
2020439	1	1	1
2020439	2	1	1
2020439	3	1	1
2020439	4	1	1
2020456	1	1	1
2020456	2	1	1
2020456	3	1	1
2020456	4	1	1
2020558	1	1	1
2020741	1	1	1
2020741	2	1	1
2020741	3	1	1
2020866	2	0	1
2021304	1	1	1
2021304	2	1	1
2021304	3	1	1
2021304	4	1	1
2021304	5	1	1
2021336	1	1	1
2021336	2	1	1
2021342	1	0	1
2021342	5	1	1
2021342	6	1	1
2021342	7	1	1
2021342	8	1	1
2021342	9	1	1
2021367	1	1	1
2021367	2	1	1
2021367	3	1	1
2021367	4	1	1
2021519	1	1	1
2021519	2	1	1
2021519	3	1	1
2021519	4	1	1
2021519	5	1	1
2021519	6	1	1
2021519	7	1	1
2021557	2	0	1
2021569	2	0	1
2021711	1	1	1
2021711	2	1	1
2021711	3	1	1
2021711	4	1	1
2021711	5	1	1
2021711	6	1	1
2021726	2	0	1
2021752	1	0	1
2021803	1	1	1
2021803	2	1	1
2021803	3	1	1
2030270	2	1	1
2030270	3	1	1
2030270	4	1	1
2030270	5	1	1
2030270	6	0	1
2030434	2	1	1
2030434	3	0	1
2030541	1	0	1
2030805	1	1	1
2030806	1	1	1
2030806	2	1	1
2030806	3	1	1
2030806	4	1	1
2030806	5	1	1
2030806	6	1	1
2030806	7	1	1
2030806	8	1	1
2030806	9	1	1
2030806	10	1	1
2030806	11	1	1
2030806	12	0	1
2030866	1	0	1
2040252	2	0	1
2040371	2	1	1
2040371	3	1	1
2040371	4	1	1
2040371	5	1	1
2040371	6	1	1
2040371	7	0	1
2040474	3	1	1
2040474	4	0	1
2040517	2	0	1
2040624	1	0	1
2040632	1	1	1
2040632	2	1	1
2040632	3	1	1
2040751	1	1	1
2040751	2	1	1
2041143	2	0	1
2041468	1	0	1
2041557	1	1	1
2041557	2	1	1
2041565	1	1	1
2041565	2	1	1
2041659	1	1	1
2041659	2	1	1
2041824	2	0	1
2041827	1	1	1
2041923	1	1	1
2041923	2	1	1
2041954	1	1	1
2041954	2	1	1
2041954	3	1	1
2041954	4	1	1
2041954	5	1	1
2041954	6	1	1
2042024	1	1	1
2042024	2	1	1
2042135	1	1	1
2042135	2	1	1
2042136	1	1	1
2042136	2	1	1
2042136	3	1	1
2042136	4	1	1
2042173	1	1	1
2042327	1	1	1
2042327	2	1	1
2050167	2	0	1
2050404	1	1	1
2050542	1	1	1
2050542	2	1	1
2050542	3	1	1
2050542	4	1	1
2050542	5	1	1
2050542	6	1	1
2050542	7	1	1
2050544	2	0	1
2050557	1	1	1
2050557	2	1	1
2050557	3	1	1
2050557	4	0	1
2050816	1	1	1
2050816	2	1	1
2050816	3	1	1
2050816	4	1	1
2050816	5	1	1
2050856	2	0	1
2060146	2	1	1
2060146	3	1	1
2060146	4	0	1
2060147	1	1	1
2060147	2	1	1
2060149	1	1	1
2060149	2	0	1
2060162	2	0	1
2060172	1	1	1
2060172	2	1	1
2060204	1	1	1
2060204	2	1	1
2060425	1	1	1
2060425	2	1	1
2060425	3	1	1
2060425	4	1	1
2060425	5	1	1
2060425	6	1	1
2060425	7	1	1
2060425	8	1	1
2060425	9	1	1
2060425	10	1	1
2060425	11	1	1
2060425	12	0	1
2060447	1	1	1
2060447	2	1	1
2060447	3	0	1
2060538	1	1	1
2060538	2	1	1
2060538	3	1	1
2060538	4	1	1
2060538	5	0	1
2060557	1	1	1
2060557	2	1	1
2060571	2	0	1
2060617	1	1	1
2060617	2	1	1
2060617	3	1	1
2060617	4	1	1
2060627	1	1	1
2060627	2	1	1
2060671	1	0	1
2060671	3	1	1
2060671	4	1	1
2060713	1	1	1
2060713	2	1	1
2060713	3	1	1
2060713	4	1	1
2060713	5	1	1
2060713	6	1	1
2060713	7	1	1
2060759	1	1	1
2060759	2	1	1
2060759	3	1	1
2070217	3	0	1
2070223	1	1	1
2070223	2	1	1
2070223	3	1	1
2070223	4	0	1
2070223	6	1	1
2070223	7	1	1
2070223	8	1	1
2070243	2	0	1
2070244	3	0	1
2070341	1	1	1
2070341	2	1	1
2070342	1	1	1
2070342	2	1	1
2070342	3	1	1
2070342	4	1	1
2070342	5	1	1
2070342	6	1	1
2070342	7	1	1
2070342	8	1	1
2070342	9	1	1
2070342	10	1	1
2070342	11	1	1
2070342	12	0	1
2070359	1	1	1
2070359	2	1	1
2070359	3	1	1
2070359	4	1	1
2070359	5	1	1
2070359	6	1	1
2070359	7	1	1
2070359	8	1	1
2070359	9	1	1
2070359	10	0	1
2070454	1	1	1
2070454	2	1	1
2070454	3	0	1
2070454	5	1	1
2070512	2	0	1
2080330	2	1	1
2080330	3	0	1
2080345	1	1	1
2080345	2	1	1
2080434	1	1	1
2080434	2	1	1
2080750	1	1	1
2080750	2	1	1
2080825	1	1	1
2080825	2	1	1
2080825	3	1	1
2080825	4	1	1
2080825	5	0	1
2080827	1	1	1
2080827	2	1	1
2081010	1	1	1
2081010	2	1	1
2081025	1	1	1
2081025	2	1	1
2081025	3	1	1
2081025	4	1	1
2081041	1	1	1
2081041	2	1	1
2081041	3	1	1
2081041	4	1	1
2081041	5	1	1
2081139	2	0	1
2081140	1	1	1
2081140	2	1	1
2081140	3	1	1
2081140	4	1	1
2081234	1	1	1
2081234	2	1	1
2081234	3	1	1
2081234	4	1	1
2081234	5	1	1
2081234	6	1	1
2081258	1	1	1
2081258	2	1	1
2081367	1	1	1
2081367	2	1	1
2081367	3	1	1
2081367	4	1	1
2081367	5	0	1
2081414	1	1	1
