k00	f00	Ankunft_Hafen_HH	Abfahrt_Hafen_HH
1471505	2	0	1
1491054	2	0	1
1492666	1	1	1
1500915	2	0	1
1501666	2	0	1
1502801	2	0	1
1502845	4	0	1
1502935	2	0	1
1503432	2	0	1
1510849	1	1	1
1510849	2	1	1
1510961	2	0	1
1512316	6	0	1
2011125	4	0	1
2020439	4	0	1
2021304	1	1	1
2021304	2	0	1
2021304	5	1	1
2030805	1	1	1
2060204	1	0	1
2060538	2	0	1
2060538	4	0	1
2081139	2	0	1
2081234	1	0	1
2081258	1	0	1
2091002	6	0	1
2091002	10	0	1
2091625	2	0	1
2091744	6	0	1
2091922	1	1	1
2091922	2	1	1
2091935	1	0	1
2092020	2	1	1
2092020	3	0	1
2092020	6	0	1
2092461	2	0	1
2093644	3	0	1
2093644	5	0	1
2093967	1	0	1
2094517	2	0	1
2094519	1	0	1
2094519	7	1	1
2094519	8	1	1
2094519	9	0	1
2094519	11	1	1
2094519	12	0	1
2094864	1	0	1
2100411	2	0	1
2101336	2	0	1
2101550	1	1	1
2101550	2	1	1
2101615	1	0	1
2103141	1	0	1
2103141	3	0	1
2103141	5	0	1
2103141	7	0	1
2103361	1	0	1
2110426	3	0	1
2111935	2	0	1
2112563	2	0	1
2113210	2	0	1
2113333	2	1	1
2113333	3	0	1
2114072	2	0	1
2115065	4	0	1
2120419	2	0	1
2120628	2	0	1
2130219	2	0	1
2130219	4	0	1
2140163	9	0	1
2140163	12	0	1
2141913	3	0	1
2141913	10	0	1
2141918	2	1	1
2141918	3	0	1
2150146	1	0	1
2150146	3	0	1
2150146	5	0	1
2150929	2	0	1
2160764	1	0	1
2162610	2	0	1
2170626	2	0	1
2171356	5	1	1
2171356	6	0	1
2171931	2	0	1
2172242	3	0	1
2172527	2	0	1
2172651	3	0	1
2172658	2	0	1
2173109	1	0	1
2173570	2	0	1
2180406	3	0	1
2210874	2	0	1
2221933	2	0	1
2222238	2	0	1
2222238	4	0	1
2223030	2	0	1
2223173	1	0	1
2223660	2	1	1
2223660	3	1	1
2223660	4	0	1
2224033	2	1	1
2224033	3	0	1
2224457	1	0	1
2224457	3	1	1
2224457	4	1	1
2224457	5	1	1
2224457	6	0	1
2224545	1	1	1
2224545	2	1	1
2224545	3	1	1
2224545	4	1	1
2224612	6	0	1
2230121	2	0	1
2231040	2	0	1
2231208	2	1	1
2231208	3	1	1
2231208	4	1	1
2231208	5	0	1
2231208	7	1	1
2231208	8	0	1
2231941	1	0	1
2240340	1	0	1
2240607	5	0	1
2240753	3	0	1
2241137	2	0	1
2243302	2	0	1
2250119	2	0	1
2252045	2	0	1
2270444	2	0	1
2271021	3	0	1
2272039	7	1	1
2272039	8	1	1
2272039	9	1	1
2272039	10	0	1
2280130	2	0	1
2280225	1	0	1
2280225	3	0	1
2280837	2	1	1
2280837	3	0	1
2280961	1	0	1
2281232	1	1	1
2281232	2	1	1
2282322	1	0	1
2290333	2	0	1
2290859	1	0	1
2290859	4	0	1
2291739	4	1	1
2291739	5	1	1
2291739	6	1	1
2291739	7	0	1
2292428	1	1	1
2292428	2	1	1
2292428	3	0	1
2292428	5	0	1
2292428	8	1	1
2310320	2	0	1
2330138	2	0	1
2340464	3	0	1
2350830	2	0	1
2351217	1	0	1
2351342	1	0	1
2352844	2	0	1
2352844	4	0	1
2353005	2	0	1
2353131	2	0	1
2353359	1	0	1
2353359	3	0	1
2353359	5	0	1
2353421	4	0	1
2353871	2	0	1
2354251	2	0	1
2360458	2	0	1
2362257	1	1	1
2362257	2	0	1
2362257	4	1	1
2362257	5	1	1
2362257	6	1	1
2362257	7	1	1
2362503	4	0	1
2362507	2	0	1
2370932	2	0	1
2371170	2	0	1
2371668	1	0	1
2371702	10	0	1
2371866	2	0	1
2371975	1	0	1
2372619	7	0	1
2372643	1	1	1
