k00	f00	Ankunft_MRH	Abfahrt_MRH
1470354	1	1	1
1470354	2	1	1
1470354	3	1	1
1470354	4	1	1
1470354	5	1	1
1470354	6	1	1
1470354	7	1	1
1470354	8	1	1
1470354	9	1	1
1470433	2	1	0
1470470	1	1	1
1470470	2	1	1
1470470	3	1	1
1470470	4	1	1
1470470	5	1	1
1470525	1	1	1
1470525	2	1	1
1470525	3	1	1
1470525	4	1	1
1470634	1	1	1
1470634	2	1	1
1470634	3	1	1
1470634	4	1	1
1470647	1	1	0
1470801	1	1	1
1470801	2	1	1
1470801	3	1	1
1470801	4	1	1
1470801	5	1	1
1470801	6	1	1
1470801	7	1	1
1470801	8	1	1
1470801	9	1	1
1470801	10	1	1
1470801	11	1	1
1470821	1	1	1
1470821	2	1	1
1470946	1	1	1
1470946	2	1	1
1470946	3	1	1
1470946	4	1	1
1470946	5	1	1
1470946	6	1	1
1470946	7	1	1
1470946	8	1	1
1470946	9	1	1
1470946	10	1	1
1470946	11	1	1
1471353	1	1	1
1471353	2	1	1
1471402	1	1	1
1471402	2	1	1
1471505	1	1	1
1471505	2	1	1
1480115	1	1	1
1480115	2	1	1
1480142	1	1	1
1480143	1	1	1
1480143	2	1	1
1480148	1	1	1
1480148	2	1	1
1480150	1	1	1
1480204	1	1	0
1480223	2	1	0
1480246	1	1	1
1480246	2	1	1
1480250	1	1	1
1480250	2	1	1
1480250	3	1	1
1480250	4	1	1
1480339	1	1	1
1480339	2	1	1
1480339	3	1	1
1480339	4	1	1
1480339	5	1	1
1480339	6	1	1
1480339	7	1	1
1480339	8	1	1
1480339	9	1	1
1480472	1	1	1
1480472	2	1	1
1480563	1	1	1
1480563	2	1	1
1480709	1	1	1
1480709	2	1	1
1480709	3	1	1
1480709	4	1	1
1480709	5	1	1
1480710	1	1	1
1480710	2	1	1
1480740	1	1	1
1480740	2	1	1
1480740	3	1	1
1480740	4	1	1
1480763	2	1	0
1480915	3	1	0
1480920	1	1	1
1480920	2	1	1
1480924	1	1	1
1480924	2	1	1
1480965	1	1	1
1480965	2	1	1
1480965	3	1	1
1480965	4	1	1
1480975	1	1	1
1480975	2	1	1
1481011	1	1	1
1481011	2	1	1
1481015	1	1	1
1481138	1	1	1
1481138	2	1	1
1481164	1	1	1
1481164	2	1	1
1481171	1	1	1
1481317	1	1	1
1481317	2	1	1
1481323	1	1	1
1481323	2	1	1
1481323	3	1	1
1481323	4	1	1
1481363	1	1	1
1481363	2	1	1
1481363	3	1	1
1481407	1	1	1
1481407	2	1	1
1481407	3	1	1
1481407	4	1	1
1481407	5	1	1
1481407	6	1	1
1481563	1	1	1
1482042	1	1	0
1482165	1	1	1
1482165	2	1	1
1482166	1	1	1
1482166	2	1	1
1482166	3	1	1
1482166	4	1	1
1482166	5	1	1
1482166	6	1	1
1482173	1	1	1
1482173	2	1	1
1482173	3	1	1
1482224	1	1	1
1482224	2	1	1
1482224	3	1	1
1482224	4	1	1
1482224	5	1	1
1482233	1	1	1
1482233	2	1	1
1482233	3	1	1
1482254	1	1	0
1482254	2	1	1
1482254	3	1	1
1482254	4	1	1
1482257	1	1	0
1482447	1	1	1
1482447	2	1	1
1482448	1	1	0
1482731	1	1	1
1482731	2	1	1
1482731	3	1	1
1482731	4	1	1
1482731	5	1	1
1482817	1	1	0
1482852	1	1	1
1482852	2	1	1
1482852	3	1	1
1482852	4	1	1
1483021	1	1	0
1483026	1	1	1
1483026	2	1	1
1483129	1	1	1
1483129	2	1	1
1483172	1	1	1
1483243	1	1	1
1483243	2	1	1
1483243	3	1	1
1483243	4	1	1
1483243	5	1	1
1483243	6	1	1
1483243	7	1	1
1483243	8	1	1
1483549	1	1	1
1483549	2	1	1
1483549	3	1	1
1483549	4	1	1
1483549	5	1	1
1483549	6	1	1
1483549	7	1	1
1483549	8	1	1
1483549	9	1	1
1483549	10	1	1
1483607	1	1	1
1483607	2	1	1
1483621	1	1	1
1483621	2	1	1
1483709	4	1	0
1483709	5	1	1
1483709	6	1	1
1483709	7	1	1
1483709	8	1	1
1483709	9	1	1
1483709	10	1	1
1483727	1	1	1
1483727	2	1	1
1483761	2	1	0
1483805	1	1	1
1483805	2	1	1
1483816	1	1	1
1483908	1	1	1
1483908	2	1	1
1483908	3	1	1
1483908	4	1	1
1483908	5	1	1
1483938	1	1	1
1483938	2	1	1
1484104	1	1	1
1484104	2	1	1
1484104	3	1	1
1484104	4	1	1
1484104	5	1	1
1484104	6	1	1
1484104	7	1	1
1484104	8	1	1
1484139	1	1	1
1484139	2	1	1
1484143	1	1	1
1484143	2	1	1
1484172	1	1	1
1484172	2	1	1
1484172	3	1	1
1484215	1	1	1
1484215	2	1	1
1484215	3	1	1
1484215	4	1	1
1484215	5	1	1
1484215	6	1	1
1484215	7	1	1
1484250	1	1	1
1484250	2	1	1
1484250	3	1	1
1484250	4	1	1
1484250	5	1	1
1484306	1	1	1
1484321	1	1	0
1490122	1	1	1
1490122	2	1	1
1490122	3	1	1
1490122	4	1	1
1490173	1	1	1
1490173	2	1	1
1490173	3	1	1
1490173	4	1	1
1490321	1	1	1
1490321	2	1	1
1490322	1	1	1
1490322	2	1	1
1490325	1	1	0
1490325	2	1	1
1490464	1	1	1
1490526	1	1	1
1490526	2	1	1
1490526	3	1	1
1490526	4	1	1
1490526	5	1	1
1490526	6	1	1
1490526	7	1	1
1490526	8	1	1
1490526	9	1	1
1490564	1	1	1
1490568	1	1	1
1490568	2	1	1
1490752	1	1	0
1490752	2	1	1
1490752	3	1	1
1490752	4	1	1
1490752	5	1	1
1490804	2	1	0
1490811	1	1	1
1490811	2	1	1
1490811	3	1	1
1490811	4	1	1
1490811	5	1	1
1490811	6	1	1
1491054	1	1	1
1491054	2	1	1
1491068	1	1	1
1491068	2	1	1
1491068	3	1	1
1491068	4	1	1
1491201	1	1	1
1491201	2	1	1
1491208	1	1	1
1491208	2	1	1
1491208	3	1	1
1491208	4	1	1
1491208	5	1	1
1491208	6	1	1
1491209	1	1	1
1491209	2	1	1
1491209	3	1	1
1491247	1	1	1
1491247	2	1	1
1491417	1	1	1
1491417	2	1	1
1491464	1	1	1
1491464	3	1	0
1491474	1	1	1
1491474	2	1	1
1491475	1	1	1
1491475	2	1	1
1491521	1	1	1
1491521	2	1	1
1491667	1	1	1
1491667	2	1	1
1491667	3	1	1
1491667	4	1	1
1491667	5	1	1
1491667	6	1	1
1491667	7	1	1
1491671	1	1	1
1491671	2	1	1
1491671	3	1	1
1491671	4	1	1
1491671	5	1	1
1491702	1	1	1
1491702	2	1	1
1491705	2	1	0
1491705	3	1	1
1491706	1	1	1
1491707	2	1	0
1491755	1	1	1
1491811	1	1	1
1491811	2	1	1
1492008	2	1	0
1492017	1	1	1
1492017	2	1	1
1492017	3	1	1
1492017	4	1	1
1492018	1	1	1
1492018	2	1	1
1492018	3	1	1
1492348	1	1	1
1492348	2	1	1
1492418	1	1	1
1492418	2	1	1
1492418	3	1	1
1492418	4	1	1
1492418	5	1	1
1492418	6	1	1
1492418	7	1	1
1492418	8	1	1
1492421	1	1	1
1492421	2	1	1
1492427	1	1	1
1492427	2	1	1
1492428	1	1	1
1492428	2	1	1
1492428	3	1	1
1492428	4	1	1
1492543	1	1	1
1492567	1	1	1
1492567	3	1	0
1492567	4	1	1
1492567	5	1	1
1492646	1	1	1
1492646	3	1	0
1492646	4	1	1
1492666	1	1	1
1492670	1	1	0
1500114	2	1	0
1500130	3	1	0
1500130	5	1	0
1500169	1	1	1
1500169	2	1	1
1500169	3	1	1
1500169	4	1	1
1500169	5	1	1
1500169	6	1	1
1500169	7	1	1
1500169	8	1	1
1500169	9	1	1
1500169	10	1	1
1500169	11	1	1
