                               Güterart |      Freq.     Percent        Cum.
                   (1 KUBIKMETER) BETON |          1        0.00        0.00
                                 (20KG) |          5        0.00        0.01
                                 (60KG) |          1        0.00        0.01
                             (HAUPTSTR) |          2        0.00        0.01
                        (LICHT-) KOFFER |          1        0.00        0.01
                       (MEHR ALS 50 KG) |          1        0.00        0.01
                        (MEHR ALS 50KG) |          4        0.00        0.01
             (MITTAGESSEN) LEBENSMITTEL |          1        0.00        0.01
                   (PAPIERE, DOKUMENTE) |          1        0.00        0.01
                          (POST,BRIEFE) |          1        0.00        0.02
                        (POST?, PAKET?) |          1        0.00        0.02
                             (SCHOTTER) |          1        0.00        0.02
                    (WEGEBAU) GLENSANDA |          2        0.00        0.02
                         +(WERBEANLAGE) |          1        0.00        0.02
                              +, 130 KG |          1        0.00        0.02
                                     +/ |          2        0.00        0.02
                                    +10 |          1        0.00        0.02
            ,MEDIZINISCHE PFLEGEARTIKEL |          1        0.00        0.02
                             ,ZEITUNGEN |          1        0.00        0.02
                                     -- |          3        0.00        0.03
                                    --1 |          1        0.00        0.03
                                     -1 |     12,829       10.78       10.81
                                     -2 |          6        0.01       10.82
                                     -5 |          1        0.00       10.82
                                     -8 |          1        0.00       10.82
                                     -9 |     74,859       62.93       73.75
                                   -OST |          1        0.00       73.75
                                      / |          1        0.00       73.75
                                 0,3 KG |          1        0.00       73.75
                        0,3KG BATTERIEN |          1        0.00       73.75
                        0-16 RHEIN/KIES |          3        0.00       73.75
                           1 BUND EISEN |          1        0.00       73.75
                                1 COLLI |          1        0.00       73.75
                        1 DEF. COMPUTER |          1        0.00       73.75
                          1 EIMER FARBE |          1        0.00       73.75
                    1 EIMER FARBE 15 KG |          1        0.00       73.76
            1 EUROPALETTE FAHRZEUGTEILE |          1        0.00       73.76
           1 EUROPALETTE MASCHINENTEILE |          1        0.00       73.76
                              1 EW WARE |          1        0.00       73.76
                                  1 EWP |          1        0.00       73.76
                              1 GEBINDE |          1        0.00       73.76
             1 HYDRAULIKSCHLAUCH DEFEKT |          1        0.00       73.76
                1 HYDRAULIKSCHLAUCH NEU |          1        0.00       73.76
                               1 KARTON |          1        0.00       73.76
                                   1 KG |          1        0.00       73.76
                      1 KOMPLETT LADUNG |          1        0.00       73.76
                  1 KUPPLUNG CA. 3,5 KG |          1        0.00       73.76
                       1 LADENKüHLTHEKE |          1        0.00       73.77
                                 1 LAMM |          1        0.00       73.77
                     1 LEERER CONTAINER |          2        0.00       73.77
             1 LITER KUNSTSTOFFFLASCHEN |          1        0.00       73.77
                             1 MASCHINE |          1        0.00       73.77
                   1 PALETTE ECITHöLFEN |          1        0.00       73.77
                    1 PALETTE FORMTEILE |          1        0.00       73.77
     1 PALETTE FORMTEILE U. LEERPALETTE |          1        0.00       73.77
                    1 PALETTE OBERLEDER |          1        0.00       73.77
                   1 PAX BRIEFE, PAKETE |          1        0.00       73.77
                        1 PAX GELDBOMBE |          1        0.00       73.77
                                  1 RAD |          1        0.00       73.78
                                1 ROLLE |          1        0.00       73.78
        1 SOLEBEHäLTER FüR STREUAUTOMAT |          1        0.00       73.78
                                1 STUHL |          1        0.00       73.78
                        1 STüCK PALETTE |          1        0.00       73.78
                                 1 TEIL |          1        0.00       73.78
                                1 TISCH |          1        0.00       73.78
                                   1,5T |          1        0.00       73.78
                          1,75M^3 BETON |          1        0.00       73.78
             1.7 DM CONTAINER- UMLEERER |          1        0.00       73.78
                           1/2 SCHWEINE |          1        0.00       73.78
               1/2 SCHWEINE + 1/2 BULLE |          1        0.00       73.78
                                     10 |          1        0.00       73.79
                                    100 |          1        0.00       73.79
           1000 KG ROHSTOFFE FüR CHEMIE |          1        0.00       73.79
                                   10KG |          1        0.00       73.79
                                10X20KG |          3        0.00       73.79
                                     11 |          1        0.00       73.79
                         11 COLA KISTEN |          1        0.00       73.79
                                   13KG |          1        0.00       73.79
                     15-KG-KäSEKANISTER |          1        0.00       73.79
                          150KG MACHINE |          1        0.00       73.79
                          17KG SCHELLEN |          1        0.00       73.80
                               1EW WARE |          1        0.00       73.80
                                   1EWP |          1        0.00       73.80
                                 1KATON |          1        0.00       73.80
                                    1KG |          2        0.00       73.80
                             1M^3 BETON |          1        0.00       73.80
             1STUCK STAHLTüR 1 FLüGELIG |          1        0.00       73.80
               1STUCK STAHLTüR 2FLüGLIG |          1        0.00       73.80
            2 * GASFLASCHEN, 4 * PAKETE |          1        0.00       73.80
                         2 EUROPALETTEN |          1        0.00       73.80
                              2 EW WARE |          1        0.00       73.81
                            2 FAHRZEUGE |          1        0.00       73.81
                            2 FARBEIMER |          1        0.00       73.81
                              2 FENSTER |          1        0.00       73.81
                 2 GESTELLE KLIMAGERäTE |          1        0.00       73.81
                2 GITTERBOXEN GUSSTEILE |          1        0.00       73.81
                  2 KANISTER à 10 LITER |          1        0.00       73.81
                               2 KATZEN |          1        0.00       73.81
              2 KUNDENPALETTEN ROHTEILE |          1        0.00       73.81
                      2 LEERE CONTAINER |          2        0.00       73.81
                2 LEERROHRE (45° BOGEN) |          1        0.00       73.81
                        2 PAKETE,JE 5KG |          1        0.00       73.82
                2 PALETTEN LAUTSPRECHER |          1        0.00       73.82
                               2 PFERDE |          2        0.00       73.82
                2 Paletten Sammelladung |          1        0.00       73.82
                               2 ROLLEN |          1        0.00       73.82
                             2 SCHRäNKE |          1        0.00       73.82
        2 SOLEBEHäLTER FüR STREUAUTOMAT |          1        0.00       73.82
                           2 STOßFäNGER |          1        0.00       73.82
               2 SäCKE A 25 KG KORRUNEL |          1        0.00       73.82
                        2 TEILIGE DIELE |          1        0.00       73.82
                            2 TV-GERÄTE |          1        0.00       73.82
2 ULTRASCHALLGERäTE(MEDIZINISCHES GERäT |          1        0.00       73.83
                      2 WOHNDACHFENSTER |          1        0.00       73.83
                                   2,0T |          1        0.00       73.83
                          2. TEILLADUNG |          1        0.00       73.83
                        20 LITER DIESEL |          1        0.00       73.83
                                    200 |          1        0.00       73.83
                                   2000 |          2        0.00       73.83
                       206 Europaletten |          1        0.00       73.83
                                   20KG |          1        0.00       73.83
                          20KG PFLANZEN |          1        0.00       73.83
                                  25 KG |          1        0.00       73.83
                                   2500 |          1        0.00       73.84
                         25KG FARBEIMER |          1        0.00       73.84
                               2FP WARE |          1        0.00       73.84
                                    2KG |          2        0.00       73.84
                             2M^3 BETON |          1        0.00       73.84
               2ST STAHLTüREN 2FLüGELIG |          1        0.00       73.84
                          3 EIMER FARBE |          1        0.00       73.84
                         3 EURO PALETTE |          1        0.00       73.84
                            3 FAHRZEUGE |          1        0.00       73.84
               3 KARTON-ELEKTROMATERIAL |          1        0.00       73.84
                                   3 KG |          1        0.00       73.84
                      3 LEERE CONTAINER |          2        0.00       73.85
                               3 PAKETE |          1        0.00       73.85
                     3 PAKETE ALUWINKEL |          1        0.00       73.85
             3 PALETTEN ELEKTROMATERIAL |          2        0.00       73.85
                           3 POSTPAKETE |          1        0.00       73.85
                3 Paletten Sammelladung |          1        0.00       73.85
                          3 SACK ZEMENT |          1        0.00       73.85
                            3 TV-GERäTE |          1        0.00       73.85
                                  30 KG |          2        0.00       73.85
                                  300 G |          1        0.00       73.86
                                   30KG |          1        0.00       73.86
                                     31 |          3        0.00       73.86
                                   31,5 |          9        0.01       73.87
                                 31,5KG |          1        0.00       73.87
                              350KG EUP |          1        0.00       73.87
                                   36KG |          1        0.00       73.87
                           3SITZER-SOFA |          1        0.00       73.87
                     4 * PAKETE ABHOLEN |          1        0.00       73.87
             4 HARKEN UND 2 SCHUBKARREN |          1        0.00       73.87
                             4 M³ BETON |          1        0.00       73.87
                               4 PFERDE |          1        0.00       73.87
                           4 SäCKE GIPS |          1        0.00       73.87
                                  40 KG |          1        0.00       73.87
                                   40KG |          2        0.00       73.88
                                   45KG |          1        0.00       73.88
              4M³ GEMISCHTE GRüNABFäLLE |          1        0.00       73.88
                          5 AKTENORDNER |         10        0.01       73.89
                          5 BRIEFBEUTEL |         11        0.01       73.90
                   5 Colli Sammelladung |          1        0.00       73.90
                                   5 KG |          2        0.00       73.90
             5 M³ GEMISCHTE GRüNABFäLLE |          1        0.00       73.90
              5 TüRBLäTTER (INNENTüREN) |          1        0.00       73.90
                                5-10 KG |          1        0.00       73.90
                            5-LITER-EIS |          2        0.00       73.90
                       50 BLECHBEHäLTER |          1        0.00       73.90
                                  50 KG |          1        0.00       73.90
                                   50KG |          1        0.00       73.91
                                    5KG |          1        0.00       73.91
                             6 M³ BETON |          2        0.00       73.91
                                   6000 |          1        0.00       73.91
                                   60KH |          2        0.00       73.91
                                   6200 |          3        0.00       73.91
                                      7 |         10        0.01       73.92
                               7 KARTON |          1        0.00       73.92
                             7 M³ BETON |          1        0.00       73.92
                                  7 PKW |          2        0.00       73.92
                                 7 PKWS |          1        0.00       73.93
                           7,5 M³ BETON |          1        0.00       73.93
                        70 KG MASCHINEN |          5        0.00       73.93
                                   70KG |          1        0.00       73.93
                            70KG PAKETE |          1        0.00       73.93
                                      8 |          5        0.00       73.94
                  8 KARTON PLASTIKTöPFE |          2        0.00       73.94
                                   8 KP |          2        0.00       73.94
                                  8 PKW |          2        0.00       73.94
                                 8 PKWS |          1        0.00       73.94
                              80 KMH ?? |          1        0.00       73.94
                                  80KG. |          1        0.00       73.94
                             8M^3 BETON |          1        0.00       73.94
                                      9 |          1        0.00       73.95
                              9^3 BETON |          1        0.00       73.95
                               ?ASPHALT |          1        0.00       73.95
                            ABBRUCHHOLZ |          2        0.00       73.95
                            ABD.-BAHNEN |          1        0.00       73.95
                         ABDECKMATERIAL |          1        0.00       73.95
                           ABDECKPAPIER |          1        0.00       73.95
                            ABDECKUNGEN |          1        0.00       73.95
                        ABDICHTMATERIAL |          2        0.00       73.95
                      ABDICHTUNGSBAHNEN |          1        0.00       73.95
                       ABDICHTUNGSFOLIE |          1        0.00       73.96
  ABDäMPFUNGEN / SCHALLDäMMUNGSMATERIAL |          1        0.00       73.96
                                 ABFALL |         39        0.03       73.99
                       ABFALL / KEHRGUT |          1        0.00       73.99
         ABFALL : PAPIER,DOSEN,FLASCHEN |          1        0.00       73.99
                       ABFALL ALLER ART |          1        0.00       73.99
                 ABFALL AUS PAPIERKöRBE |          2        0.00       73.99
         ABFALL AUS STRASSENPAPIERKöRBE |          2        0.00       74.00
             ABFALL AUS TROCKENBINDEREI |          1        0.00       74.00
                          ABFALL MULDEN |          1        0.00       74.00
              ABFALL VON DER VERPACKUNG |          1        0.00       74.00
                 ABFALL VON GRüNFLACHEN |          1        0.00       74.00
            ABFALL, MASCHINEN, MATERIAL |          1        0.00       74.00
         ABFALL, UNRAT, STRAßENKEHRICHT |          1        0.00       74.00
                           ABFALL/ MüLL |          1        0.00       74.00
                        ABFALL/HAUSMüLL |          1        0.00       74.00
                        ABFALL/STREUGUT |          1        0.00       74.00
                           ABFALL/UNRAT |          1        0.00       74.00
                            ABFALLSäCKE |          4        0.00       74.01
                           ABFLUSSROHRE |          2        0.00       74.01
             ABFLUSSROHRE UND FORMSTüCK |          2        0.00       74.01
                ABFORMUNGEN VON KIEFERN |          1        0.00       74.01
                   ABFUHR VON BAUSTELLE |          1        0.00       74.01
                                ABFäLLE |         19        0.02       74.03
               ABFäLLE AUS PAPIERKöRBEN |          1        0.00       74.03
           ABFäLLE UND STRASSENKEHRICHT |          1        0.00       74.03
                    ABFäLLE UNF KNOCHEN |          1        0.00       74.03
          ABFäLLE VON STRASSENREINIGUNG |          1        0.00       74.03
                 ABFäLLE ZUR ENTSORGUNG |         11        0.01       74.04
                 ABFäLLE ZUR VERWERTUNG |          1        0.00       74.04
                          ABFäLLE, MüLL |          1        0.00       74.04
                   ABFäLLE, SCHUTT, ETC |          1        0.00       74.04
                     ABGABEMEDIKAMENNTE |          1        0.00       74.04
                       ABGABEMEDIKANETE |          1        0.00       74.04
                         ABGEHENDE POST |          1        0.00       74.05
                  ABGENOMMENES VOLLBLUT |          1        0.00       74.05
                    ABGESCHNITTENE äSTE |          1        0.00       74.05
                            ABKANNTBANK |          1        0.00       74.05
                          ABRIEB, STAUB |          1        0.00       74.05
                            ABSETZMULDE |          1        0.00       74.05
                        ABSPEERMATERIAL |          1        0.00       74.05
                          ABSPERRBALKEN |          1        0.00       74.05
                          ABSPERRBARKEN |          1        0.00       74.05
                          ABSPERRGITTER |          2        0.00       74.05
                        ABSPERRMATERIAL |         18        0.02       74.07
ABSPERRMATERIAL,SCHILDER,FüßE,STäNDER,B |          1        0.00       74.07
 ABSPERRSCHILDER + ZUBEHöR; LEITPFOSTEN |          1        0.00       74.07
                             ABSPERRUNG |          2        0.00       74.07
                           ABSPERRUNGEN |          2        0.00       74.07
                    ABSPERRUNGSMATERIAL |          1        0.00       74.07
                          ABSPERVENTILE |          1        0.00       74.08
               ABSTREUMATERIAL ( GIPS ) |          1        0.00       74.08
               ABTöNFARBEN, GRUNDIERUNG |          1        0.00       74.08
                          ABWASSERPUMPE |          3        0.00       74.08
                        ABWASSERSCHLAMM |          2        0.00       74.08
